# baseline_board_81_gold.txt — auto-generated by tools/gen_baseline_board.py
# Game 17 board (6 helpers, 23 cards) + one trouble singleton per
# remaining card in the double deck. 81 scenarios, sorted by id.
# Columns: <scenario_id>  <ms>  <result>
# Re-run the generator after solver changes; commit this and the paired DSL.

baseline_board_2Cp           424.0  no_plan
baseline_board_2D              2.7  4-step
baseline_board_2Dp             2.7  4-step
baseline_board_2Hp             2.6  4-step
baseline_board_2Sp           497.0  no_plan
baseline_board_3C              2.6  4-step
baseline_board_3Cp             2.6  4-step
baseline_board_3Dp            54.4  no_plan
baseline_board_3Hp           100.5  no_plan
baseline_board_3Sp            78.5  no_plan
baseline_board_4Cp             0.4  1-step
baseline_board_4D              6.5  no_plan
baseline_board_4Dp             6.6  no_plan
baseline_board_4Hp            13.5  no_plan
baseline_board_4S              0.5  1-step
baseline_board_4Sp             0.5  1-step
baseline_board_5C              6.4  no_plan
baseline_board_5Cp             6.1  no_plan
baseline_board_5D              0.5  1-step
baseline_board_5Dp             0.4  1-step
baseline_board_5Hp             0.4  1-step
baseline_board_5S              1.6  4-step
baseline_board_5Sp             1.6  4-step
baseline_board_6C              4.7  no_plan
baseline_board_6Cp             4.4  no_plan
baseline_board_6D              0.1  no_plan
baseline_board_6Dp             0.1  no_plan
baseline_board_6H              2.6  no_plan
baseline_board_6Hp             2.8  no_plan
baseline_board_6Sp             4.1  no_plan
baseline_board_7Cp             7.5  no_plan
baseline_board_7Dp             3.3  3-step
baseline_board_7Hp             0.4  1-step
baseline_board_7Sp             7.3  no_plan
baseline_board_8C              0.4  1-step
baseline_board_8Cp             0.4  1-step
baseline_board_8D              0.1  no_plan
baseline_board_8Dp             0.1  no_plan
baseline_board_8H              0.1  no_plan
baseline_board_8Hp             0.1  no_plan
baseline_board_8S              0.4  1-step
baseline_board_8Sp             0.4  1-step
baseline_board_9C              0.1  no_plan
baseline_board_9Cp             0.1  no_plan
baseline_board_9D              0.3  1-step
baseline_board_9Dp             0.3  1-step
baseline_board_9H              0.1  no_plan
baseline_board_9Hp             0.1  no_plan
baseline_board_9S              0.1  no_plan
baseline_board_9Sp             0.1  no_plan
baseline_board_ACp             8.2  no_plan
baseline_board_ADp             0.5  1-step
baseline_board_AHp             0.4  1-step
baseline_board_ASp             0.5  1-step
baseline_board_JC              1.0  no_plan
baseline_board_JCp             1.0  no_plan
baseline_board_JDp             0.8  no_plan
baseline_board_JH              0.1  no_plan
baseline_board_JHp             0.1  no_plan
baseline_board_JS              1.1  no_plan
baseline_board_JSp             1.2  no_plan
baseline_board_KC              0.9  2-step
baseline_board_KCp             1.0  2-step
baseline_board_KDp            27.3  no_plan
baseline_board_KH              0.8  2-step
baseline_board_KHp             0.8  2-step
baseline_board_KSp            34.9  no_plan
baseline_board_QC              1.5  4-step
baseline_board_QCp             1.7  4-step
baseline_board_QDp            42.1  no_plan
baseline_board_QH             45.2  no_plan
baseline_board_QHp            33.0  no_plan
baseline_board_QS              0.5  1-step
baseline_board_QSp             0.4  1-step
baseline_board_TC              0.1  no_plan
baseline_board_TCp             0.1  no_plan
baseline_board_TDp             0.3  no_plan
baseline_board_TH              0.1  no_plan
baseline_board_THp             0.1  no_plan
baseline_board_TS              0.1  no_plan
baseline_board_TSp             0.1  no_plan
