# baseline_board_81_gold.txt — auto-generated by ts/bench/gen_baseline_board.ts
# Game 17 board (6 helpers, 23 cards) + one trouble singleton per
# remaining card in the double deck. 81 scenarios, sorted by id.
# Columns: <scenario_id>  <ms>  <result>
# Re-run the generator after solver changes; commit alongside the .dsl.

baseline_board_2Cp            18.7  no_plan
baseline_board_2D              4.3  4-step
baseline_board_2Dp             4.4  4-step
baseline_board_2Hp             3.4  4-step
baseline_board_2Sp            25.7  no_plan
baseline_board_3C              4.0  4-step
baseline_board_3Cp             3.8  4-step
baseline_board_3Dp             3.7  no_plan
baseline_board_3Hp             7.5  no_plan
baseline_board_3Sp             3.9  no_plan
baseline_board_4Cp             0.1  1-step
baseline_board_4D              1.8  no_plan
baseline_board_4Dp             1.8  no_plan
baseline_board_4Hp             0.4  no_plan
baseline_board_4S              0.1  1-step
baseline_board_4Sp             0.1  1-step
baseline_board_5C              1.3  no_plan
baseline_board_5Cp             1.2  no_plan
baseline_board_5D              0.1  1-step
baseline_board_5Dp             0.1  1-step
baseline_board_5Hp             0.1  1-step
baseline_board_5S              0.5  3-step
baseline_board_5Sp             0.5  3-step
baseline_board_6C              0.4  no_plan
baseline_board_6Cp             0.4  no_plan
baseline_board_6D              0.0  no_plan
baseline_board_6Dp             0.0  no_plan
baseline_board_6H              0.1  no_plan
baseline_board_6Hp             0.1  no_plan
baseline_board_6Sp             0.4  no_plan
baseline_board_7Cp             2.0  no_plan
baseline_board_7Dp             2.1  3-step
baseline_board_7Hp             0.1  1-step
baseline_board_7Sp             1.6  no_plan
baseline_board_8C              0.1  1-step
baseline_board_8Cp             0.1  1-step
baseline_board_8D              0.0  no_plan
baseline_board_8Dp             0.0  no_plan
baseline_board_8H              0.0  no_plan
baseline_board_8Hp             0.0  no_plan
baseline_board_8S              0.1  1-step
baseline_board_8Sp             0.1  1-step
baseline_board_9C              0.0  no_plan
baseline_board_9Cp             0.0  no_plan
baseline_board_9D              0.1  1-step
baseline_board_9Dp             0.1  1-step
baseline_board_9H              0.0  no_plan
baseline_board_9Hp             0.0  no_plan
baseline_board_9S              0.0  no_plan
baseline_board_9Sp             0.0  no_plan
baseline_board_ACp             3.9  no_plan
baseline_board_ADp             0.1  1-step
baseline_board_AHp             0.1  1-step
baseline_board_ASp             0.1  1-step
baseline_board_JC              0.1  no_plan
baseline_board_JCp             0.1  no_plan
baseline_board_JDp             0.1  no_plan
baseline_board_JH              0.0  no_plan
baseline_board_JHp             0.0  no_plan
baseline_board_JS              0.0  no_plan
baseline_board_JSp             0.0  no_plan
baseline_board_KC              0.5  2-step
baseline_board_KCp             0.6  2-step
baseline_board_KDp             4.8  no_plan
baseline_board_KH              0.3  2-step
baseline_board_KHp             0.5  2-step
baseline_board_KSp             3.2  no_plan
baseline_board_QC              0.3  4-step
baseline_board_QCp             0.4  4-step
baseline_board_QDp             3.0  no_plan
baseline_board_QH              2.2  no_plan
baseline_board_QHp             2.3  no_plan
baseline_board_QS              0.0  1-step
baseline_board_QSp             0.0  1-step
baseline_board_TC              0.0  no_plan
baseline_board_TCp             0.0  no_plan
baseline_board_TDp             0.0  no_plan
baseline_board_TH              0.0  no_plan
baseline_board_THp             0.0  no_plan
baseline_board_TS              0.0  no_plan
baseline_board_TSp             0.0  no_plan
